Title,Category,Auther,Date,Location,Content,URL
वीरगंजमा काङ्ग्रेसको वर्गीय सङ्गठनद्वारा विरोध प्रदर्शन,स्थानीय,प्रतीक दैनिक,"माघ २४, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/06/9058
पर्सा सुनचाँदी व्यवसायी सङ्घको साधारणसभा,स्थानीय,प्रतीक दैनिक,"माघ २४, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/06/9045
हरि खेतानमा दृष्टि क्यान्सर सचेतना शिविर सम्पन्न,स्थानीय,प्रतीक दैनिक,"माघ २४, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/06/9048
बन्दको विरोध गर्नुपर्छ –अध्यक्ष गुप्ता,स्थानीय,प्रतीक दैनिक,"माघ २४, २०७७",परवानीपुर,,https://eprateekdaily.com/2021/02/06/9039
महोत्तरीमा कोभिशिल्ड खोपको गति सुस्त,स्थानीय,प्रतीक दैनिक,"माघ २३, २०७७",महोत्तरी,,https://eprateekdaily.com/2021/02/05/9023
घरेलु आगलागी नियन्त्रण विधिबारे सार्वजनिक प्रदर्शन,स्थानीय,प्रतीक दैनिक,"माघ २३, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/05/9020
चारजना महिलासहित १०३ जनाद्वारा रक्तदान,स्थानीय,प्रतीक दैनिक,"माघ २४, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/06/9062
मन्त्री सोनलद्वारा दुधौरा खोला पुलको शिलान्यास,स्थानीय,प्रतीक दैनिक,"माघ २३, २०७७",परवानीपुर,,https://eprateekdaily.com/2021/02/05/9025
पोखरियामा विद्यार्थीद्वारा टायर बालेर विरोध,स्थानीय,प्रतीक दैनिक,"माघ २३, २०७७",पोखरिया,,https://eprateekdaily.com/2021/02/05/9017
सोनाम ल्होछारको अवसरमा शुभकामना कार्यक्रम,स्थानीय,प्रतीक दैनिक,"माघ २४, २०७७",पर्सागढी,,https://eprateekdaily.com/2021/02/06/9042
"पत्रकार महासङ्घको शाखा अध्यक्षहरूको भेला, प्रदेश कमिटीलाई सदस्यता सच्याउन आग्रह",स्थानीय,प्रतीक दैनिक,"माघ २४, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/06/9052
तपोवन सामुदायिक केन्द्रद्वारा स्वास्थ्य शिविर,स्थानीय,प्रतीक दैनिक,"माघ २४, २०७७",निजगढ,,https://eprateekdaily.com/2021/02/06/9055
ठोरीमा कृषि सङ्कलन केन्द्र भवनको शिलान्यास,स्थानीय,प्रतीक दैनिक,"माघ २१, २०७७",ठोरी,,https://eprateekdaily.com/2021/02/03/8926
निजगढमा रेलमार्गपीडित सरोकार समिति गठन,स्थानीय,प्रतीक दैनिक,"माघ २१, २०७७",निजगढ,,https://eprateekdaily.com/2021/02/03/8920
प्रदेशसभाको वार्षिकोत्सव कार्यक्रममा ओली पक्षद्वारा बहिष्कार,स्थानीय,प्रतीक दैनिक,"माघ २१, २०७७",जनकपुरधाम,,https://eprateekdaily.com/2021/02/03/8935
ठोरीमा झोलुङ्गेपुलको शिलान्यास,स्थानीय,प्रतीक दैनिक,"माघ २२, २०७७",ठोरी,,https://eprateekdaily.com/2021/02/04/8971
संसद् विघटनविरुद्ध जसपाको प्रदर्शन,स्थानीय,प्रतीक दैनिक,"माघ २३, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/05/9007
योजनाबद्ध तरीकाबाट वन कर्मचारीमाथि आक्रमण,स्थानीय,प्रतीक दैनिक,"माघ २३, २०७७",निजगढ,,https://eprateekdaily.com/2021/02/05/9014
महोत्तरीमा दुई शहीदको सालिक चोरी,स्थानीय,प्रतीक दैनिक,"माघ २२, २०७७",महोत्तरी,,https://eprateekdaily.com/2021/02/04/8967
