Title,Category,Auther,Date,Location,Content,URL
पहिलो चरणको खोप भन्सार कर्मचारीलाई पनि दिइने,स्थानीय,प्रतीक दैनिक,"माघ २२, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/04/8974
"मालपोत कार्यालय सिमरामा टोकन प्रणाली लागू, वेबसाइट सञ्चालनको तयारी",स्थानीय,प्रतीक दैनिक,"माघ २२, २०७७",जीतपुर,,https://eprateekdaily.com/2021/02/04/8960
भारतीय नाकामा पैदल आवागमन शुरू,स्थानीय,प्रतीक दैनिक,"माघ २१, २०७७",रौतहट,,https://eprateekdaily.com/2021/02/03/8932
जनकपुरमा प्रदर्शनको क्रममा पूर्वमन्त्री झा घाइते,स्थानीय,प्रतीक दैनिक,"माघ २२, २०७७",जनकपुरधाम,,https://eprateekdaily.com/2021/02/04/8969
पहिलो चरणको खोप ७१ प्रतिशतलाई दिइयो,स्थानीय,प्रतीक दैनिक,"माघ २१, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/03/8929
दुर्घटना न्यूनीकरणका लागि ट्राफिक सचेतना,स्थानीय,प्रतीक दैनिक,"माघ २१, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/03/8917
सहकारीलाई व्यवस्थित गर्नुपर्छ –मन्त्री साह,स्थानीय,प्रतीक दैनिक,"माघ २१, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/03/8911
सिंघाही र भेडाहा खोला उत्खननमा रोक,स्थानीय,प्रतीक दैनिक,"माघ २०, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/02/8885
प्रम ओलीद्वारा ढल्केबर सबस्टेशन उद्घाटन,स्थानीय,प्रतीक दैनिक,"माघ १९, २०७७",धनुषा,,https://eprateekdaily.com/2021/02/01/8849
"दलित, गरीबलाई सिरक वितरण",स्थानीय,प्रतीक दैनिक,"माघ २०, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/02/8868
९ जना शहीद परिवारलाई रोजगार,स्थानीय,प्रतीक दैनिक,"माघ २०, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/02/8879
विद्युत् प्राधिकरण वीरगंजको १ अर्ब २० करोड बक्यौता,स्थानीय,प्रतीक दैनिक,"माघ २०, २०७७",परवानीपुर,,https://eprateekdaily.com/2021/02/02/8865
मेडिकल फोहर उपचार प्लान्ट निर्माण हुँदै,स्थानीय,प्रतीक दैनिक,"माघ २०, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/02/8862
पतिद्वारा पत्नीको हत्या,स्थानीय,प्रतीक दैनिक,"माघ २१, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/03/8908
"हङकङ बजार हटाइयो, व्यापारी मर्कामा",स्थानीय,प्रतीक दैनिक,"माघ २०, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/02/8882
भेडाहा र सिंघाही खोलामा उत्खनन रोक्का गर्ने निर्णय,स्थानीय,प्रतीक दैनिक,"माघ २१, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/03/8914
मध्यावधि निर्वाचन भए पर्साका चार गापाका ३ हजार मतदाता वञ्चित हुने,स्थानीय,प्रतीक दैनिक,"माघ २०, २०७७",सेढवा,,https://eprateekdaily.com/2021/02/02/8888
बलात्कार गरेको आरोपमा बुबा पक्राउ,स्थानीय,प्रतीक दैनिक,"माघ १९, २०७७",सप्तरी,,https://eprateekdaily.com/2021/02/01/8830
मुलुकमा अब मान्छे मार्ने आन्दोलन हुन सक्दैन– प्रम ओली,स्थानीय,प्रतीक दैनिक,"माघ १९, २०७७",सिराहा,,https://eprateekdaily.com/2021/02/01/8838
प्लास्टिकका सामानसहित तीनजना पक्राउ,स्थानीय,प्रतीक दैनिक,"माघ १९, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/01/8847
बलात्कारका फरार अभियुक्त पक्राउ,स्थानीय,प्रतीक दैनिक,"माघ १९, २०७७",सर्लाही,,https://eprateekdaily.com/2021/02/01/8836
जनकपुर उपमनपामा अख्तियारको छापा,स्थानीय,प्रतीक दैनिक,"माघ १९, २०७७",जनकपुर,,https://eprateekdaily.com/2021/02/01/8828
माछासहित भारतीय व्यापारी पक्राउ,स्थानीय,प्रतीक दैनिक,"माघ १९, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/01/8840
पर्सागढीमा ओली समूहको भेला,स्थानीय,प्रतीक दैनिक,"माघ १९, २०७७",पर्सागढी,,https://eprateekdaily.com/2021/02/01/8844
तीन जिल्लामा जनता आवास कार्यक्रम असफल,स्थानीय,प्रतीक दैनिक,"माघ १९, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/01/8813
गोतामे पत्रकारिता पुरस्कार सुदूरपश्चिमका पत्रकार थापालाई प्रदान गरिने,स्थानीय,प्रतीक दैनिक,"माघ १९, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/01/8816
घूससहित हवल्दार पक्राउ,स्थानीय,प्रतीक दैनिक,"माघ १९, २०७७",महोत्तरी,,https://eprateekdaily.com/2021/02/01/8834
नेविसङ्घद्वारा बारामा प्रदर्शन,स्थानीय,प्रतीक दैनिक,"माघ १९, २०७७",बारा,,https://eprateekdaily.com/2021/02/01/8832
सवारीसाधनमा स्टिकर टाँस,स्थानीय,प्रतीक दैनिक,"माघ १९, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/01/8842
दलित सङ्घद्वारा प्रदर्शन,स्थानीय,प्रतीक दैनिक,"माघ १९, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/01/8801
चुनावको लागि निर्वाचन कार्यालय तयारी अवस्थामा,स्थानीय,प्रतीक दैनिक,"माघ १९, २०७७",परवानीपुर,,https://eprateekdaily.com/2021/02/01/8772
सुक्खा बन्दरगाहमा ५ सय खाली कन्टेनर होल्ड,स्थानीय,प्रतीक दैनिक,"माघ १८, २०७७",परवानीपुर,,https://eprateekdaily.com/2021/01/31/8769
मधेस विज्ञान प्रतिष्ठानको उपकुलपतिमा डा साह,स्थानीय,प्रतीक दैनिक,"माघ १८, २०७७",जनकपुरधाम,,https://eprateekdaily.com/2021/01/31/8764
यातायात व्यवस्था कार्यालय वीरगंजको राजस्व गुम्यो,स्थानीय,प्रतीक दैनिक,"माघ १९, २०७७",परवानीपुर,,https://eprateekdaily.com/2021/02/01/8810
तरुण दलद्वारा विरोध प्रदर्शन,स्थानीय,प्रतीक दैनिक,"माघ १९, २०७७",रौतहट,,https://eprateekdaily.com/2021/02/01/8804
७ जना महिलासहित ३१ जनाद्वारा रक्तदान,स्थानीय,प्रतीक दैनिक,"माघ १८, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/31/8766
एकलौटीरूपमा नगरसभा गरेको उपप्रमुखको आरोप,स्थानीय,प्रतीक दैनिक,"माघ १९, २०७७",१९ माघ/रासस    राजदेवी नगरपालिकाका उपप्रमुख अंशुु सिंहले नगरप्रमुख धीरेन्द्र सिंहले एकलौटीरूपमा नगरसभा गरेको आरोप लगाएकी छन्।    आफूसँग कुुनै छलफल नै नगरी भ्रष्टाचार गर्ने मनस्थितिले प्रमुख सिंहले एकलौटीरूपमा बन्द कोठाभित्र नगरसभा गरेको यहाँ आयोजित पत्रकार सम्मेलनमा उनले सो आरोप लगाएकी हुन्।    राजदेवी नगरपालिकाको पाँचौं नगरसभा शनिवार नगरपालिकाको कार्यालयभित्र बन्द कोठामा सम्पन्न भएको थियो। खुुला ठाउँमा पारदर्शी ढङ्गले नगरसभा गर्न आफूले पटकपटक आग्रह गर्दा पनि आफ्नो कुरालाई अटेरी गर्दै प्रमुख सिंहले बन्द कोठाभित्र नगरसभा गरेको उनको भनाइ थियो।    एकलौटीरूपमा कार्यपालिका सदस्यलाई बोलाएर प्रमुख सिंहले बैठक गरेको र आफूखुशी नीति तथा कार्यक्रममाथि छलफल गरी घरघरमा पुुगेर हस्ताक्षर गराएकोे बताउँदै उनले गत आर्थिक वर्षको बजेट तथा कार्यक्रममाथि कुुनै छलफल नभएको र आफूसँग कुुनै छलफल नगरी नगरप्रमुखले एकलौटीरूपमा आफूखुुशी योजना ल्याएर नगरसभाबाट जबरजस्ती पास गराएको आरोप लगाइन् ।    नगरसभामा गएर आफूले आफ्ना कुुरा राख्न चाहेको भएपनि प्रमुखले आफूलाई प्रवेशसमेत गर्न नदिएको दुःखेसो व्यक्त गर्दै उनले स्थानीय सरकार सञ्चालन गर्न बनेको ऐन,,https://eprateekdaily.com/2021/02/01/8789
इन्डो–नेपाल आँखा अस्पताललाई प्रशासनले उन्मुक्ति दियो,स्थानीय,प्रतीक दैनिक,"माघ १९, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/01/8775
पूर्वसांसदद्वारा जनता आवास भवनको शिलान्यास,स्थानीय,प्रतीक दैनिक,"माघ १९, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/01/8806
१३ लाखसहित सञ्चालक सोनार पक्राउ,स्थानीय,प्रतीक दैनिक,"माघ १९, २०७७",वीरगंज,,https://eprateekdaily.com/2021/02/01/8798
तालीम भवनको शिलान्यास,स्थानीय,प्रतीक दैनिक,"माघ १९, २०७७",रौतहट,,https://eprateekdaily.com/2021/02/01/8794
चीसोको कारण चारवटा गापाका विद्यालयमा बिदा,स्थानीय,प्रतीक दैनिक,"माघ १८, २०७७",सेढवा,,https://eprateekdaily.com/2021/01/31/8736
अधिकारकर्मीले बालविवाह रोके,स्थानीय,प्रतीक दैनिक,"माघ १८, २०७७",सर्लाही,,https://eprateekdaily.com/2021/01/31/8760
मोबाइल चार्ज गर्दा करेन्ट लागेर मृत्यु,स्थानीय,प्रतीक दैनिक,"माघ १८, २०७७",सप्तरी,,https://eprateekdaily.com/2021/01/31/8741
स्तम्भकार सहनीलाई पुत्रीशोक,स्थानीय,प्रतीक दैनिक,"माघ १८, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/31/8748
जग्गा नपाएपछि जनता आवास योजना फिर्ता जाने अवस्थामा,स्थानीय,प्रतीक दैनिक,"माघ १८, २०७७",सप्तरी,,https://eprateekdaily.com/2021/01/31/8739
तेरापन्थ भवनमा ज्ञानशाला दिवस मनाइयो,स्थानीय,प्रतीक दैनिक,"माघ १८, २०७७",सप्तरी,,https://eprateekdaily.com/2021/01/31/8758
"गर्भवती महिलाको चेकजाँच, पोषण वितरण",स्थानीय,प्रतीक दैनिक,"माघ १८, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/31/8745
जग्गा नपाएपछि जनता आवास योजना फिर्ता जाने अवस्थामा,स्थानीय,प्रतीक दैनिक,"माघ १८, २०७७",सप्तरी,,https://eprateekdaily.com/2021/01/31/8754
३२ जना सिए दीक्षित,स्थानीय,प्रतीक दैनिक,"माघ १८, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/31/8751
चीसोको कारण चारवटा गापाका विद्यालयमा बिदा,स्थानीय,प्रतीक दैनिक,"माघ १८, २०७७",सेढवा,,https://eprateekdaily.com/2021/01/31/8756
बालबालिकालाई शैक्षिक सामग्री वितरण,स्थानीय,प्रतीक दैनिक,"माघ १८, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/31/8762
अपाङ्गलाई ह्वील चेयर प्रदान,स्थानीय,प्रतीक दैनिक,"माघ १८, २०७७",सर्लाही,,https://eprateekdaily.com/2021/01/31/8743
प्रधानमन्त्री ओली अधियनायकवादतर्फ –पहाडी,स्थानीय,प्रतीक दैनिक,"माघ १७, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/30/8691
कछडिया स्वास्थ्य चौकीको स्वर्ण उत्सव सम्पन्न,स्थानीय,प्रतीक दैनिक,"माघ १७, २०७७",निजगढ,,https://eprateekdaily.com/2021/01/30/8694
छनोटमा नपरेका दुईजना खेलाडीको आपत्ति,स्थानीय,प्रतीक दैनिक,"माघ १८, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/31/8733
राष्ट्रिय महिला फुटबल ः चन्द्रपुरलाई पराजित गर्दै पुलिस दोस्रो स्थानमा,स्थानीय,प्रतीक दैनिक,"माघ १८, २०७७",१८ माघ (रासस    राष्ट्रिय महिला लिग फुटबलअन्तर्गत आज भएको खेलमा रौतहटको चन्द्रपुर नगरपालिकालाई पराजित गर्दै नेपाल पुलिस क्लब लिगको दोस्रो स्थानमा पुगेको छ । ललितपुरको सातदोबाटोस्थित एन्फा कम्प्लेक्समा भएको खेलमा पुलिसले चन्द्रपुर नगरपालिकालाई ३–१ गोलले हराएको हो । पुलिसका  लागि निर्मला विक,,https://eprateekdaily.com/2021/01/31/8725
वीरगंजमा ट्राफिक सुधार अभियान,स्थानीय,प्रतीक दैनिक,"माघ १७, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/30/8697
सहयोग मञ्चको साधारणसभा सम्पन्न,स्थानीय,प्रतीक दैनिक,"माघ १७, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/30/8689
सडक मजदूर युनियनको अधिवेशन सम्पन्न,स्थानीय,प्रतीक दैनिक,"माघ १७, २०७७",पोखरिया,,https://eprateekdaily.com/2021/01/30/8686
डा. शिवशङ्कर यादवद्वारा व्यक्त विचारको प्रत्युत्तर,स्थानीय,प्रतीक दैनिक,"माघ १८, २०७७",वीरगंजका डा. शिवशङ्कर यादवद्वारा व्यक्त विचारको प्रत्युत्तर–प्रस्तुति ः– बासुदेवलाल दास,,https://eprateekdaily.com/2021/01/31/8714
एकजना महिलासहित ४९ जनाद्वारा रक्तदान,स्थानीय,प्रतीक दैनिक,"माघ १७, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/30/8700
जनमत पार्टी पर्साको पोखरियामा भेला,स्थानीय,प्रतीक दैनिक,"माघ १७, २०७७",पोखरिया,,https://eprateekdaily.com/2021/01/30/8683
वीरगंज युनाइटेड क्लब विजयी,स्थानीय,प्रतीक दैनिक,"माघ १८, २०७७",सेढवा,,https://eprateekdaily.com/2021/01/31/8730
छनोटमा नपरेका दुईजना खेलाडीको आपत्ति,स्थानीय,प्रतीक दैनिक,"माघ १८, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/31/8727
महोत्तरीमा कोभिडविरुद्धको खोप लगाउने कार्य सुस्त गतिमा,स्थानीय,प्रतीक दैनिक,"माघ १६, २०७७",महोत्तरी,,https://eprateekdaily.com/2021/01/29/8636
जाडोका कारण मिथिलाका विद्यालय बन्द,स्थानीय,प्रतीक दैनिक,"माघ १७, २०७७",जनकपुरधाम,,https://eprateekdaily.com/2021/01/30/8677
विद्यार्थीलाई स्टडी मोटिभेशन,स्थानीय,प्रतीक दैनिक,"माघ १७, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/30/8667
१० वटा पालिकामा अझै दिवाखाजा सञ्चालन भएन,स्थानीय,प्रतीक दैनिक,"माघ १६, २०७७",सेढवा,,https://eprateekdaily.com/2021/01/29/8641
बज्जिका साहित्य गोष्ठी आयोजित,स्थानीय,प्रतीक दैनिक,"माघ १७, २०७७",गरुडा,,https://eprateekdaily.com/2021/01/30/8671
सही प्रवृत्तिबाट सहज निवृत्ति,स्थानीय,प्रतीक दैनिक,"माघ १७, २०७७",तर कर्तामा जुन क्रियाशक्तिको वेग हुन्छ,,https://eprateekdaily.com/2021/01/30/8657
२ महिलासहित ३२ जनाद्वारा रक्तदान,स्थानीय,प्रतीक दैनिक,"माघ १६, २०७७",पोखरिया,,https://eprateekdaily.com/2021/01/29/8638
विद्यार्थीको मनोबल बढाउन पालिकाको साइकल,स्थानीय,प्रतीक दैनिक,"माघ १७, २०७७",सिराहा,,https://eprateekdaily.com/2021/01/30/8681
ठोरीका विद्यालयमा जाडो बिदा,स्थानीय,प्रतीक दैनिक,"माघ १७, २०७७",ठोरी,,https://eprateekdaily.com/2021/01/30/8669
विद्यालय भवन उद्घाटन,स्थानीय,प्रतीक दैनिक,"माघ १७, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/30/8679
नेकपाको अगुवा कार्यकर्ता भेला सम्पन्न,स्थानीय,प्रतीक दैनिक,"माघ १७, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/30/8674
४० जनालाई कम्बल वितरण,स्थानीय,प्रतीक दैनिक,"माघ १७, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/30/8665
सत्यतथ्य समाचार आओस्– नगरप्रमुख सरावगी,स्थानीय,प्रतीक दैनिक,"माघ १६, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/29/8624
सुरक्षाकर्मीको संलग्नतामा पर्सा जिल्लामा व्यापक गाँजा खेती,स्थानीय,प्रतीक दैनिक,"माघ १५, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/28/8586
बालुवाभित्र लुकाएको काठसहित ट्याक्टर बरामद,स्थानीय,प्रतीक दैनिक,"माघ १६, २०७७",पर्सागढी,,https://eprateekdaily.com/2021/01/29/8621
"रु डेढ अर्ब लागतको सडक योजनाको म्याद बित्यो, आधा काम मात्र सम्पन्न",स्थानीय,प्रतीक दैनिक,"माघ १५, २०७७",परवानीपुर,,https://eprateekdaily.com/2021/01/28/8583
वीरगंजमा पनि शहीद दिवस मनाइयो,स्थानीय,प्रतीक दैनिक,"माघ १६, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/29/8633
"ड्राइपोर्ट नाकाबाट महँगा गाडीको आयात ठप्प, पुससम्म लक्ष्यभन्दा रु ५ अर्ब कम राजस्व सङ्कलन",स्थानीय,प्रतीक दैनिक,"माघ १५, २०७७",परवानीपुर,,https://eprateekdaily.com/2021/01/28/8588
महिला हिंसा न्यूनीकरणका लागि तीनवटै तहबीच समन्वय आवश्यक,स्थानीय,प्रतीक दैनिक,"माघ १५, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/28/8577
सुशासन अभियानको पोखरियामा सभा सम्पन्न,स्थानीय,प्रतीक दैनिक,"माघ १५, २०७७",पोखरिया,,https://eprateekdaily.com/2021/01/28/8574
सर्वोत्तम स्टीलले वैशाखदेखि उत्पादन गर्ने,स्थानीय,प्रतीक दैनिक,"माघ १६, २०७७",परवानीपुर,,https://eprateekdaily.com/2021/01/29/8627
अपराध न्यूनीकरणबारे अन्तक्र्रिया,स्थानीय,प्रतीक दैनिक,"माघ १६, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/29/8630
विकास बजेट खर्च नगरिएकोमा समानीको आपत्ति,स्थानीय,प्रतीक दैनिक,"माघ १५, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/28/8571
फागुनमा नेकाको महाधिवेशन नहुने– नेता साउद,स्थानीय,प्रतीक दैनिक,"माघ १५, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/28/8580
पोखरियामा ट्राफिक सुधार कार्यक्रम,स्थानीय,प्रतीक दैनिक,"माघ १४, २०७७",पोखरिया,,https://eprateekdaily.com/2021/01/27/8534
दलित भएकै कारण मुद्दा दर्तामा ढिलाइ,स्थानीय,प्रतीक दैनिक,"माघ १४, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/27/8537
लैङ्गिक हिंसा र लागूऔषध दुव्र्यसनीविरुद्ध प्रशिक्षण,स्थानीय,प्रतीक दैनिक,"माघ १४, २०७७",ठोरी,,https://eprateekdaily.com/2021/01/27/8528
वीमनपाको आठौं नगरसभा,स्थानीय,प्रतीक दैनिक,"माघ १४, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/27/8520
बा–ह दिनदेखि गोमन सर्पको पूजा,स्थानीय,प्रतीक दैनिक,"माघ १५, २०७७",महोत्तरी,,https://eprateekdaily.com/2021/01/28/8567
राजस्व सङ्कलनमा कर्मचारी र एजेन्टको भूमिका महत्वपूर्ण,स्थानीय,प्रतीक दैनिक,"माघ १३, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/26/8497
बारामा पनि कोरोनाविरुद्धको खोप शुरू,स्थानीय,प्रतीक दैनिक,"माघ १४, २०७७",निजगढ,,https://eprateekdaily.com/2021/01/27/8531
अडिटोरियम निर्माणको विषयलाई लिएर ठाराबमा विवाद,स्थानीय,प्रतीक दैनिक,"माघ १४, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/27/8523
मध्य तराईका जिल्लामा यो सिजनको अत्यधिक चीसो,स्थानीय,प्रतीक दैनिक,"माघ १४, २०७७",परवानीपुर,,https://eprateekdaily.com/2021/01/27/8525
अंशको कारण किर्ते नागरिकताको रहस्योद्घाटन,स्थानीय,प्रतीक दैनिक,"माघ १५, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/28/8569
धुलाम्य र हिलाम्य सडकबाट पार पाउँदै सिगौलवासी,स्थानीय,प्रतीक दैनिक,"माघ १४, २०७७",निजगढ,,https://eprateekdaily.com/2021/01/27/8539
सिंहद्वारा नागरिकता परित्याग,स्थानीय,प्रतीक दैनिक,"माघ १४, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/27/8517
वडा कार्यालय सारिएकोमा विरोध प्रदर्शन,स्थानीय,प्रतीक दैनिक,"माघ १२, २०७७",परवानीपुर,,https://eprateekdaily.com/2021/01/25/8457
ट्याङ्कर चालकको हडताल सहमतिमा टुङ्गियो,स्थानीय,प्रतीक दैनिक,"माघ १२, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/25/8451
फेदकटवा कीराले गहुँबालीमा क्षति,स्थानीय,प्रतीक दैनिक,"माघ १३, २०७७",पंचगावाँ,,https://eprateekdaily.com/2021/01/26/8488
कृषि ज्ञान केन्द्रमा परिणत भएपछि सेवा खस्कियो,स्थानीय,प्रतीक दैनिक,"माघ १३, २०७७",पोखरिया,,https://eprateekdaily.com/2021/01/26/8485
पेन्टरको पेशा सङ्कटमा परेको भन्दै ज्ञापन,स्थानीय,प्रतीक दैनिक,"माघ १२, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/25/8448
सामुदायिक विद्यालयहरू पूर्ववत्रूपमा सञ्चालित,स्थानीय,प्रतीक दैनिक,"माघ १३, २०७७",वीरगंज,,https://eprateekdaily.com/2021/01/26/8491
